,,Latinx Population,White Population,Native American Population,Asian Population,Black Population,Number of Air BnB Listings
2011,10578,58.0,1888.0,396.0,0.0,6.0,0.0
2011,10579,2736.0,22915.0,169.0,502.0,423.0,0.0
2011,10580,1666.0,47002.0,44.0,3960.0,650.0,0.0
2011,10583,2606.0,94250.0,89.0,22132.0,1570.0,0.0
2011,10588,238.0,4754.0,0.0,640.0,108.0,0.0
2011,10589,460.0,23654.0,62.0,1152.0,279.0,0.0
2011,10590,540.0,18544.0,22.0,1094.0,132.0,0.0
2011,10591,14224.0,46933.0,64.0,5365.0,4090.0,0.0
2011,10594,1284.0,13333.0,8.0,812.0,360.0,0.0
2011,10595,2310.0,16900.0,200.0,2710.0,2949.0,0.0
2011,10596,520.0,1743.0,0.0,88.0,0.0,0.0
2011,10597,128.0,2636.0,264.0,40.0,0.0,0.0
2011,10598,4260.0,76460.0,253.0,5077.0,2271.0,0.0
2011,10601,5060.0,15936.0,266.0,4677.0,5708.0,0.0
2011,10603,9228.0,27361.0,310.0,5789.0,14612.0,0.0
2011,10604,6556.0,23968.0,232.0,2118.0,2501.0,0.0
2011,10605,5930.0,45449.0,85.0,2739.0,4582.0,0.0
2011,10606,13656.0,23997.0,0.0,4214.0,8904.0,0.0
2011,10607,2556.0,9442.0,6.0,3151.0,6510.0,0.0
2011,10701,52416.0,73388.0,786.0,10236.0,57716.0,0.0
2011,10703,12902.0,35984.0,254.0,5708.0,11925.0,0.0
2011,10704,11104.0,63291.0,165.0,8707.0,7389.0,0.0
2011,10705,40254.0,37133.0,628.0,9002.0,21063.0,0.0
2011,10706,932.0,23236.0,32.0,2304.0,446.0,0.0
2011,10707,2200.0,24369.0,215.0,2724.0,2834.0,0.0
2011,10708,5394.0,54298.0,336.0,2765.0,2889.0,0.0
2011,10709,1364.0,25850.0,165.0,1892.0,602.0,0.0
2011,10710,9286.0,47752.0,216.0,15312.0,10430.0,0.0
2011,10801,28710.0,60684.0,442.0,6653.0,31994.0,0.0
2011,10803,1818.0,31079.0,10.0,2542.0,2528.0,0.0
2011,10804,1558.0,38657.0,207.0,1553.0,4291.0,0.0
2011,10805,8240.0,33837.0,288.0,2692.0,10212.0,0.0
2011,10901,6348.0,53706.0,434.0,5457.0,4292.0,0.0
2011,10910,0.0,0.0,0.0,0.0,0.0,0.0
2011,10911,0.0,0.0,0.0,0.0,0.0,0.0
2011,10913,700.0,13238.0,27.0,2158.0,128.0,0.0
2011,10914,190.0,27.0,0.0,732.0,0.0,0.0
2011,10915,0.0,648.0,0.0,0.0,0.0,0.0
2011,10916,1020.0,11796.0,8.0,536.0,609.0,0.0
2011,10917,734.0,4735.0,0.0,1080.0,304.0,0.0
2011,10918,2704.0,28740.0,105.0,767.0,2772.0,0.0
2011,10919,376.0,3103.0,0.0,0.0,16.0,0.0
2011,10920,2106.0,19023.0,0.0,4604.0,868.0,0.0
2011,10921,1250.0,9729.0,0.0,108.0,405.0,0.0
2011,10922,308.0,2584.0,120.0,0.0,0.0,0.0
2011,10923,5886.0,17952.0,128.0,1610.0,2673.0,0.0
2011,10924,2240.0,32542.0,489.0,2198.0,2943.0,0.0
2011,10925,1260.0,11747.0,18.0,20.0,222.0,0.0
2011,10926,850.0,6239.0,86.0,1140.0,1370.0,0.0
2011,10927,13596.0,15853.0,232.0,1718.0,6997.0,0.0
2011,10928,950.0,8015.0,114.0,891.0,2371.0,0.0
2011,10930,1436.0,22856.0,182.0,1735.0,1338.0,0.0
2011,10931,364.0,1402.0,648.0,0.0,594.0,0.0
2011,10932,0.0,213.0,0.0,0.0,0.0,0.0
2011,10933,0.0,648.0,0.0,0.0,0.0,0.0
2011,10940,29786.0,85953.0,1886.0,5691.0,22428.0,0.0
2011,10941,6498.0,24407.0,143.0,2499.0,8229.0,0.0
2011,10950,8690.0,123898.0,461.0,5573.0,3357.0,0.0
2011,10952,2052.0,105340.0,494.0,3665.0,4405.0,0.0
2011,10953,0.0,456.0,0.0,0.0,0.0,0.0
2011,10954,4648.0,49246.0,163.0,10592.0,8994.0,0.0
2011,10956,5146.0,76197.0,106.0,12857.0,3612.0,0.0
2011,10958,1470.0,7750.0,0.0,236.0,1170.0,0.0
2011,10960,3730.0,30908.0,144.0,3059.0,9683.0,0.0
