,Address,Rent,Bed,Baths,Borough,Zip
162,66-17 110th St ,3500,4 ,3.0,Queens, 11375
163,82-12 251st St ,3500,4 ,2.0,Queens, 11426
164,144-21 182nd Pl ,3200,3 ,2.0,Queens, 11413
165,173-18 93rd Ave ,2800,3 ,1.0,Queens, 11433
166,25-87-87 37th St ,2400,1 ,1.0,Queens, 11103
167,43-08 25th Ave ,2000,2 ,1.0,Queens, 11103
168,69-1 Loubet St ,3995,3 ,2.0,Queens, 11375
169,29-11 200th St ,2000,2 ,1.0,Queens, 11360
170,66-76-76 69th St ,2995,3 ,2.0,Queens, 11379
171,186-11-186121 121st Ave ,1500,1 ,1.0,Queens, 11412
172,41-12 66th St ,1800,1 ,1.0,Queens, 11377
173,90-22 70th Dr ,2300,2 ,1.0,Queens, 11375
174,120 B 26th St ,2500,2 ,2.0,Queens, 11691
175,80-51 160th St ,3000,3 ,1.0,Queens, 11432
176,112-20 201st St ,800,1 ,1.0,Queens, 11412
177,41-07 47th Ave ,2060,1 ,1.0,Queens, 11104
178,37-59-59 61st St ,3000,2 ,2.0,Queens, 11377
179,244-31 88th Rd ,1150,2 ,3.0,Queens, 11426
181,0 Sunnyside Ave,4800,4 ,3.0,Queens,
182,73-15 72nd St ,2400,2 ,1.0,Queens, 11385
183,68-18 53rd Rd ,2800,3 ,1.0,Queens, 11378
184,104-34-104219 219th St ,3500,4 ,2.0,Queens, 11429
185,5815 58th Ave ,3000,3 ,1.0,Queens, 11378
186,13-12 Michael Ct ,4200,2 ,2.5,Queens, 11360
187,21-64-64 29th St ,1900,1 ,1.0,Queens, 11105
188,66-59-66-71 71st St ,2600,3 ,1.0,Queens, 11379
189,39-40-40 46th St ,4000,2 ,1.0,Queens, 11104
190,115-37-140 140th St ,2100,2 ,1.0,Queens, 11436
191,1878 Putnam Ave ,3800,4 ,2.5,Queens, 11385
192,108-36 154th St ,3800,3 ,1.0,Queens, 11433
193,14-52-52 119th St ,2600,3 ,1.0,Queens, 11356
194,661 Nasby Pl ,3188,3 ,2.0,Queens, 11691
195,59-23 71st Ave ,4000,4 ,2.5,Queens, 11385
196,157-60 21st Ave ,2400,3 ,1.0,Queens, 11357
197,763 Seneca Ave ,3368,4 ,1.5,Queens, 11385
198,22-17 Steinway St ,2200,2 ,1.0,Queens, 11105
199,22-56-56 38th St ,1800,1 ,1.0,Queens, 11105
200,149-47 259th St ,3150,3 ,2.0,Queens, 11422
201,156- 12-156-78 78th St ,2100,2 ,1.0,Queens, 11414
202,78-52 85th St ,2850,3 ,1.0,Queens, 11385
203,61-01 56th Dr ,2950,3 ,1.0,Queens, 11378
204,59-25 71st Ave ,3895,3 ,2.5,Queens, 11385
205,146-23 223rd St ,2700,3 ,1.5,Queens, 11413
206,23-16 28th Ave ,2150,1 ,1.0,Queens, 11102
207,62-70 Fresh Pond Rd ,2675,2 ,1.0,Queens, 11385
208,233-04 Seward Ave ,2600,3 ,2.0,Queens, 11427
209,761 Seneca Ave ,3368,3 ,1.5,Queens, 11385
210,144-36 222nd St ,3200,4 ,2.0,Queens, 11413
211,108-50 62nd Dr ,3200,3 ,2.0,Queens, 11375
212,78-73 81st St ,2600,3 ,2.0,Queens, 11385
213,122-23 161st Pl ,2699,3 ,1.0,Queens, 11434
214,78-50 79th Ln ,2400,2 ,1.0,Queens, 11385
215,74-25 62nd St ,2400,2 ,1.0,Queens, 11385
216,193-47 Salerno Ave ,4795,3 ,2.0,Queens, 11423
217,81-33 169th St ,4800,4 ,1.5,Queens, 11432
218,152-14 84th Dr ,2495,3 ,1.0,Queens, 11432
219,14-31 Pinson St ,3100,3 ,2.0,Queens, 11691
220,86-09 90th St ,4200,3 ,1.0,Queens, 11421
