,rent,borough,zip,year
121,2300.0,the bronx,10452.0,2022
122,5600.0,the bronx,10803.0,2022
123,1900.0,the bronx,10467.0,2022
124,1700.0,the bronx,10550.0,2022
125,3250.0,the bronx,10704.0,2022
126,2300.0,queens,11385.0,2022
127,2875.0,queens,11385.0,2022
128,2000.0,queens,11415.0,2022
129,900.0,queens,11432.0,2022
130,2400.0,queens,11694.0,2022
131,2500.0,queens,11433.0,2022
132,3500.0,queens,11375.0,2022
133,3500.0,queens,11426.0,2022
134,3200.0,queens,11413.0,2022
135,2800.0,queens,11433.0,2022
136,2400.0,queens,11103.0,2022
137,2000.0,queens,11103.0,2022
138,3995.0,queens,11375.0,2022
139,2000.0,queens,11360.0,2022
140,2995.0,queens,11379.0,2022
141,1500.0,queens,11412.0,2022
142,1800.0,queens,11377.0,2022
143,2300.0,queens,11375.0,2022
144,2500.0,queens,11691.0,2022
145,3000.0,queens,11432.0,2022
146,800.0,queens,11412.0,2022
147,2060.0,queens,11104.0,2022
148,3000.0,queens,11377.0,2022
149,1150.0,queens,11426.0,2022
150,4800.0,queens,,2022
151,2400.0,queens,11385.0,2022
152,2800.0,queens,11378.0,2022
153,3500.0,queens,11429.0,2022
154,3000.0,queens,11378.0,2022
155,4200.0,queens,11360.0,2022
156,1900.0,queens,11105.0,2022
157,2600.0,queens,11379.0,2022
158,4000.0,queens,11104.0,2022
159,2100.0,queens,11436.0,2022
160,3800.0,queens,11385.0,2022
161,3800.0,queens,11433.0,2022
162,2600.0,queens,11356.0,2022
163,3188.0,queens,11691.0,2022
164,4000.0,queens,11385.0,2022
165,2400.0,queens,11357.0,2022
166,3368.0,queens,11385.0,2022
167,2200.0,queens,11105.0,2022
168,1800.0,queens,11105.0,2022
169,3150.0,queens,11422.0,2022
170,2100.0,queens,11414.0,2022
171,2850.0,queens,11385.0,2022
172,2950.0,queens,11378.0,2022
173,3895.0,queens,11385.0,2022
174,2700.0,queens,11413.0,2022
175,2150.0,queens,11102.0,2022
176,2675.0,queens,11385.0,2022
177,2600.0,queens,11427.0,2022
178,3368.0,queens,11385.0,2022
179,3200.0,queens,11413.0,2022
180,3200.0,queens,11375.0,2022
181,2600.0,queens,11385.0,2022
182,2699.0,queens,11434.0,2022
183,2400.0,queens,11385.0,2022
184,2400.0,queens,11385.0,2022
185,4795.0,queens,11423.0,2022
186,4800.0,queens,11432.0,2022
187,2495.0,queens,11432.0,2022
188,3100.0,queens,11691.0,2022
189,4200.0,queens,11421.0,2022
190,3500.0,queens,11378.0,2022
191,5000.0,queens,11357.0,2022
192,3950.0,queens,11418.0,2022
193,5000.0,queens,11004.0,2022
194,2500.0,queens,11429.0,2022
195,3600.0,queens,11694.0,2022
196,7000.0,queens,11433.0,2022
197,2700.0,queens,11426.0,2022
198,2350.0,queens,11361.0,2022
199,2200.0,queens,11418.0,2022
200,2700.0,queens,11385.0,2022
201,3400.0,queens,11370.0,2022
202,2900.0,queens,11691.0,2022
203,3000.0,queens,11426.0,2022
204,3600.0,queens,11377.0,2022
205,2500.0,queens,11001.0,2022
206,2300.0,queens,11385.0,2022
207,2980.0,queens,11377.0,2022
208,2200.0,queens,11357.0,2022
209,2950.0,queens,11362.0,2022
210,2500.0,queens,11426.0,2022
211,7500.0,queens,11375.0,2022
212,1800.0,queens,11428.0,2022
213,3400.0,queens,11694.0,2022
214,1950.0,queens,11417.0,2022
215,4000.0,queens,11001.0,2022
216,3500.0,staten_island,10304.0,2022
217,1500.0,staten_island,10314.0,2022
