zipcode,year,borough,rent,home_value,count
10026,2019,MANHATTAN,2801.9666666666667,972939.4166666666,501
10026,2020,MANHATTAN,2688.4666666666667,951243.25,540
10026,2021,MANHATTAN,2597.233333333333,950124.75,466
10026,2022,MANHATTAN,2975.88,1009945.7,626
10027,2015,MANHATTAN,2451.27,908313.0833333334,334
10027,2016,MANHATTAN,2527.891666666667,999008.6666666666,343
10027,2017,MANHATTAN,2544.891666666667,1000663.4166666666,738
10027,2018,MANHATTAN,2598.5416666666665,978541.1666666666,704
10027,2019,MANHATTAN,2660.891666666667,973867.5833333334,417
10027,2020,MANHATTAN,2580.0583333333334,860804.75,410
10027,2021,MANHATTAN,2475.0416666666665,861995.5,379
10027,2022,MANHATTAN,3562.2545454545457,909733.4,515
10028,2015,MANHATTAN,2694.51,1583822.0,472
10028,2016,MANHATTAN,2745.633333333333,1566997.25,477
10028,2017,MANHATTAN,2776.375,1528383.8333333333,745
10028,2018,MANHATTAN,2816.675,1635218.25,719
10028,2019,MANHATTAN,2901.5666666666666,1572678.0,1265
10028,2020,MANHATTAN,2781.9750000000004,1477434.0,590
10028,2021,MANHATTAN,2666.616666666667,1409508.8333333333,516
10028,2022,MANHATTAN,8709.653846153846,1515127.0,674
10029,2015,MANHATTAN,2368.1,860422.6666666666,290
10029,2016,MANHATTAN,2384.0833333333335,855316.0,281
10029,2017,MANHATTAN,2466.4083333333333,899730.0,825
10029,2018,MANHATTAN,2515.175,935123.5,523
10029,2019,MANHATTAN,2560.625,684806.0,332
10029,2020,MANHATTAN,2452.9750000000004,546641.0,354
10029,2021,MANHATTAN,2293.5333333333333,700709.0833333334,312
10029,2022,MANHATTAN,2823.9692307692308,801171.2,410
10030,2015,MANHATTAN,1979.18,719161.1666666666,370
10030,2016,MANHATTAN,2100.8333333333335,801139.5,375
10030,2017,MANHATTAN,2139.7,843828.6666666666,765
10030,2018,MANHATTAN,2182.7083333333335,870348.75,708
10030,2019,MANHATTAN,2256.0916666666667,871621.6666666666,401
10030,2020,MANHATTAN,2235.6833333333334,855222.75,412
10030,2021,MANHATTAN,2183.5,821686.8333333334,413
10030,2022,MANHATTAN,2463.22,868316.2,495
10031,2015,MANHATTAN,2225.71,685248.9166666666,350
10031,2016,MANHATTAN,2322.3416666666667,716766.4166666666,357
10031,2017,MANHATTAN,2368.883333333333,726529.5833333334,804
10031,2018,MANHATTAN,2416.7166666666667,768459.3333333334,798
10031,2019,MANHATTAN,2476.55,728754.5833333334,466
10031,2020,MANHATTAN,2427.5333333333333,655639.25,458
10031,2021,MANHATTAN,2350.375,676006.25,376
10031,2022,MANHATTAN,3460.6153846153848,724138.8,481
10032,2015,MANHATTAN,2079.97,436993.4166666667,212
10032,2016,MANHATTAN,2118.925,445350.75,222
10032,2017,MANHATTAN,2214.625,462878.5833333333,266
10032,2018,MANHATTAN,2240.5,518966.75,332
10032,2019,MANHATTAN,2269.3416666666667,581325.9166666666,658
10032,2020,MANHATTAN,2234.6499999999996,520918.6666666667,286
10032,2021,MANHATTAN,2179.266666666667,621062.0833333334,242
10032,2022,MANHATTAN,2435.19,661736.2,310
10033,2015,MANHATTAN,2151.71,564003.75,161
10033,2016,MANHATTAN,2231.6833333333334,609010.75,171
10033,2017,MANHATTAN,2259.1499999999996,622307.1666666666,250
10033,2018,MANHATTAN,2328.2333333333336,658638.75,249
10033,2019,MANHATTAN,2371.325,646203.75,484
10033,2020,MANHATTAN,2321.25,582700.4166666666,218
10033,2021,MANHATTAN,2248.7250000000004,608596.5,180
10033,2022,MANHATTAN,2451.39,635817.9,227
10034,2015,MANHATTAN,1805.9,386398.0833333333,131
10034,2016,MANHATTAN,1860.2083333333333,434167.4166666667,114
10034,2017,MANHATTAN,1886.0249999999999,465052.9166666667,93
10034,2018,MANHATTAN,1956.5583333333334,464972.75,294
10034,2019,MANHATTAN,1994.0666666666666,485960.6666666667,99
10034,2020,MANHATTAN,2003.3999999999999,436680.4166666667,110
10034,2021,MANHATTAN,1955.5833333333333,448655.25,139
10034,2022,MANHATTAN,2118.12,491804.9,138
10035,2015,MANHATTAN,2252.17,861841.4166666666,111
10035,2016,MANHATTAN,2302.3333333333335,850324.25,93
10035,2017,MANHATTAN,2374.008333333333,895862.25,330
10035,2018,MANHATTAN,2419.8083333333334,898639.75,189
10035,2019,MANHATTAN,2484.4583333333335,803571.1666666666,117
10035,2020,MANHATTAN,2404.475,777439.9166666666,152
10035,2021,MANHATTAN,2337.5,732842.25,123
10035,2022,MANHATTAN,2625.1363636363635,772017.7,172
10037,2019,MANHATTAN,2188.133333333333,464354.5,290
10037,2020,MANHATTAN,2139.575,486854.6666666667,317
10037,2021,MANHATTAN,2060.6666666666665,517288.25,291
10037,2022,MANHATTAN,2308.7,554257.0,391
10039,2020,MANHATTAN,2116.7625000000003,614849.5,269
10039,2021,MANHATTAN,2046.7916666666667,668714.6666666666,229
10039,2022,MANHATTAN,2336.51,698445.9,304
10040,2015,MANHATTAN,1717.1100000000001,530894.6666666666,112
10040,2016,MANHATTAN,1766.8583333333333,605967.8333333334,116
10040,2017,MANHATTAN,1835.7666666666669,593367.9166666666,177
10040,2018,MANHATTAN,1881.9166666666667,567769.75,320
10040,2019,MANHATTAN,1928.9166666666667,556148.25,228
10040,2020,MANHATTAN,1951.2333333333331,477450.1666666667,146
10040,2021,MANHATTAN,1913.6499999999999,501409.8333333333,120
10040,2022,MANHATTAN,2127.76,540188.9,152
10044,2020,MANHATTAN,3086.6666666666665,943722.9166666666,77
10044,2021,MANHATTAN,3113.883333333333,940439.6666666666,77
10044,2022,MANHATTAN,3807.918181818182,973310.4,85
10065,2015,MANHATTAN,3004.76,1472092.4166666667,220
10065,2016,MANHATTAN,3053.633333333333,1472436.5,263
10065,2017,MANHATTAN,3066.5333333333333,1442142.9166666667,219
10065,2018,MANHATTAN,3120.1916666666666,1486847.75,204
10065,2019,MANHATTAN,3200.258333333333,1465692.6666666667,506
10065,2020,MANHATTAN,3073.875,1477968.25,298
10065,2021,MANHATTAN,2983.575,1491214.9166666667,206
10065,2022,MANHATTAN,10581.142857142857,1595670.0,301
10069,2017,MANHATTAN,4759.816666666667,2227467.8333333335,66
10069,2018,MANHATTAN,4824.108333333334,2089360.5833333333,49
10069,2019,MANHATTAN,4985.816666666667,1984795.5833333333,109
10069,2020,MANHATTAN,4628.950000000001,1933001.5,42
10069,2021,MANHATTAN,4793.375,1941931.25,51
10069,2022,MANHATTAN,5675.4,2102033.6,67
10075,2015,MANHATTAN,2304.86,1019505.8333333334,236
10075,2016,MANHATTAN,2337.1833333333334,1037782.9166666666,239
10075,2017,MANHATTAN,2357.1916666666666,1030613.4166666666,342
10075,2018,MANHATTAN,2390.233333333333,1140534.6666666667,357
10075,2019,MANHATTAN,2488.5583333333334,1125781.4166666667,729
10075,2020,MANHATTAN,2414.9750000000004,1135156.9166666667,336
10075,2021,MANHATTAN,2304.8166666666666,1163591.75,267
10075,2022,MANHATTAN,2890.02,1248309.8,370
10280,2016,MANHATTAN,3456.2,954916.5833333334,64
10280,2017,MANHATTAN,3407.575,989377.9166666666,212
10280,2018,MANHATTAN,3489.8999999999996,987590.5,64
10280,2019,MANHATTAN,3622.3083333333334,918778.8333333334,50
10280,2020,MANHATTAN,3425.758333333333,883809.1666666666,66
10280,2021,MANHATTAN,3535.6916666666666,843551.25,68
10280,2022,MANHATTAN,4196.99,885593.6,101
10282,2015,MANHATTAN,5768.61,2312762.0,17
10282,2016,MANHATTAN,5720.141666666666,2386422.9166666665,19
10282,2017,MANHATTAN,5776.833333333333,2386658.8333333335,41
10282,2018,MANHATTAN,5750.791666666667,2399849.0833333335,38
10282,2019,MANHATTAN,6012.1,2291999.0833333335,49
10282,2020,MANHATTAN,5772.041666666667,2185345.3333333335,23
10282,2021,MANHATTAN,5967.181818181818,2190434.25,19
10282,2022,MANHATTAN,7539.07,2407798.3,31
10301,2022,STATEN_ISLAND,2204.6,667275.2,143
10303,2022,STATEN_ISLAND,3000.0,476213.6,22
10304,2020,STATEN_ISLAND,2397.8,549567.5,20
10304,2021,STATEN_ISLAND,2116.6833333333334,582417.1666666666,31
10304,2022,STATEN_ISLAND,2245.108333333333,637631.5,35
10305,2021,STATEN_ISLAND,1893.7,587424.5833333334,45
10305,2022,STATEN_ISLAND,2109.0,650454.3,53
10306,2021,STATEN_ISLAND,1660.25,606155.25,34
10306,2022,STATEN_ISLAND,1997.6909090909091,670325.1,35
10308,2022,STATEN_ISLAND,2432.9,650727.1,18
10309,2022,STATEN_ISLAND,1925.65,713093.5,6
10312,2021,STATEN_ISLAND,1898.6333333333334,603904.75,7
10312,2022,STATEN_ISLAND,1999.7583333333334,673293.5,11
10314,2016,STATEN_ISLAND,1414.97,435365.6666666667,6
10314,2017,STATEN_ISLAND,1507.881818181818,487216.1666666667,3
10314,2018,STATEN_ISLAND,1568.375,539089.9166666666,4
10314,2019,STATEN_ISLAND,1625.4,545351.1666666666,8
10314,2020,STATEN_ISLAND,1799.5333333333333,541988.5,3
10314,2021,STATEN_ISLAND,1921.9250000000002,573984.6666666666,7
10314,2022,STATEN_ISLAND,2054.54,637929.3,9
10452,2022,BRONX,1895.0636363636363,417875.1,56
10453,2022,BRONX,1857.35,677833.4,69
10454,2022,BRONX,2595.5375,652391.5,90
10455,2022,BRONX,2090.2625,462821.0,72
10456,2022,BRONX,2152.9375,454902.9,98
10457,2015,BRONX,1301.13,324363.9166666667,51
10457,2016,BRONX,1432.8181818181818,352507.75,44
10457,2017,BRONX,1530.2083333333333,377363.5,18
