year,borough,zipcode,airbnb_count,rental_count,home_count,rent_avg,house_avg
2018,BROOKLYN,11228,43,12,12,1589.8083333333334,950662.5833333334
2018,BROOKLYN,11229,50,12,12,1938.108333333333,678411.0833333334
2018,BROOKLYN,11230,68,12,12,2074.025,995145.0833333334
2018,BROOKLYN,11231,213,12,12,2998.5416666666665,1434799.8333333333
2018,BROOKLYN,11233,981,12,12,2308.458333333333,745286.75
2018,BROOKLYN,11235,123,12,12,2027.4,576024.1666666666
2018,BROOKLYN,11237,1711,12,12,2551.675,789695.25
2018,BROOKLYN,11238,1138,12,12,3115.5333333333333,1237717.0
2018,MANHATTAN,10001,491,12,12,4001.0666666666666,2351996.833333333
2018,MANHATTAN,10002,724,12,12,3143.608333333333,853343.0
2018,MANHATTAN,10003,1244,12,12,3374.775,1471335.5833333333
2018,MANHATTAN,10005,466,12,12,3661.1,1176414.25
2018,MANHATTAN,10009,1425,12,12,3259.15,1150376.6666666667
2018,MANHATTAN,10010,1124,12,12,3704.341666666666,1694063.3333333333
2018,MANHATTAN,10011,957,12,12,3747.2833333333338,2038438.3333333333
2018,MANHATTAN,10012,821,12,12,3346.0166666666664,2397648.25
2018,MANHATTAN,10013,1249,12,12,4776.9,3371905.333333333
2018,MANHATTAN,10014,269,12,12,3657.808333333333,2461694.4166666665
2018,MANHATTAN,10016,511,12,12,3587.733333333333,1091157.1666666667
2018,MANHATTAN,10017,389,12,12,3146.508333333333,938151.1666666666
2018,MANHATTAN,10018,2485,12,12,3713.233333333333,1463682.25
2018,MANHATTAN,10019,928,12,12,3483.025,1376501.5833333333
2018,MANHATTAN,10021,337,12,12,2736.3083333333334,1459849.8333333333
2018,MANHATTAN,10022,238,12,12,3282.9,1318202.0
2018,MANHATTAN,10023,794,12,12,3476.7666666666664,1488123.6666666667
2018,MANHATTAN,10024,879,12,12,3087.358333333333,1750179.9166666667
2018,MANHATTAN,10026,826,12,12,2736.6833333333334,1002733.6666666666
2018,MANHATTAN,10027,704,12,12,2598.5416666666665,978541.1666666666
2018,MANHATTAN,10028,719,12,12,2816.675,1635218.25
2018,MANHATTAN,10029,523,12,12,2515.175,935123.5
2018,MANHATTAN,10030,708,12,12,2182.708333333333,870348.75
2018,MANHATTAN,10031,798,12,12,2416.7166666666667,768459.3333333334
2018,MANHATTAN,10032,332,12,12,2240.5,518966.75
2018,MANHATTAN,10033,249,12,12,2328.2333333333336,658638.75
2018,MANHATTAN,10034,294,12,12,1956.5583333333332,464972.75
2018,MANHATTAN,10035,189,12,12,2419.8083333333334,898639.75
2018,MANHATTAN,10040,320,12,12,1881.9166666666667,567769.75
2018,MANHATTAN,10065,204,12,12,3120.1916666666666,1486847.75
2018,MANHATTAN,10069,49,12,12,4824.108333333334,2089360.5833333333
2018,MANHATTAN,10075,357,12,12,2390.233333333333,1140534.6666666667
2018,MANHATTAN,10280,64,12,12,3489.9,987590.5
2018,MANHATTAN,10282,38,12,12,5750.791666666667,2399849.083333333
2018,QUEENS,11101,112,12,12,2873.933333333333,797617.25
2018,QUEENS,11102,347,12,12,2388.083333333333,660766.9166666666
2018,QUEENS,11103,443,12,12,2057.025,881343.5833333334
2018,QUEENS,11105,256,12,12,2318.6916666666666,985832.5
2018,QUEENS,11106,648,12,12,2167.9,618868.3333333334
2018,QUEENS,11354,51,12,12,2244.2,658181.3333333334
2018,QUEENS,11355,195,12,12,1852.8166666666664,676159.0
2018,QUEENS,11374,88,12,12,2103.5,584818.4166666666
2018,QUEENS,11375,69,12,12,2108.1583333333333,818675.4166666666
2018,QUEENS,11385,162,12,12,2489.758333333333,696424.75
2018,QUEENS,11435,63,12,12,1676.675,517040.75
2018,STATEN_ISLAND,10314,4,12,12,1568.375,539089.9166666666
2019,BRONX,10457,24,12,12,1707.35,458172.4166666667
2019,BRONX,10458,15,12,12,1782.5916666666667,400902.4166666667
2019,BRONX,10461,31,12,12,1667.9166666666667,532643.8333333334
2019,BRONX,10462,48,12,12,1721.125,184555.5833333333
2019,BRONX,10463,79,12,12,2340.675,403598.0833333333
2019,BRONX,10465,22,12,12,1979.925,511188.1666666667
2019,BRONX,10467,58,12,12,1712.6416666666669,392851.9166666667
2019,BROOKLYN,11201,389,12,12,3488.1666666666665,1339921.0
2019,BROOKLYN,11205,672,12,12,2799.5583333333334,931183.5
2019,BROOKLYN,11206,1110,12,12,2962.65,917810.8333333334
2019,BROOKLYN,11207,101,12,12,2483.375,463651.25
2019,BROOKLYN,11209,75,12,12,1939.1666666666667,910180.25
