zipcode,year,borough,home_value,count
10040,2019,MANHATTAN,556148.25,
10040,2020,MANHATTAN,477450.1666666667,
10040,2021,MANHATTAN,501409.8333333333,
10040,2022,MANHATTAN,540188.9,
10044,2015,MANHATTAN,905707.6666666666,
10044,2016,MANHATTAN,965536.5833333334,
10044,2017,MANHATTAN,1037255.6666666666,
10044,2018,MANHATTAN,1025486.1666666666,
10044,2019,MANHATTAN,984598.4166666666,
10044,2020,MANHATTAN,943722.9166666666,
10044,2021,MANHATTAN,940439.6666666666,
10044,2022,MANHATTAN,973310.4,
10065,2015,MANHATTAN,1472092.4166666667,
10065,2016,MANHATTAN,1472436.5,
10065,2017,MANHATTAN,1442142.9166666667,
10065,2018,MANHATTAN,1486847.75,
10065,2019,MANHATTAN,1465692.6666666667,
10065,2020,MANHATTAN,1477968.25,
10065,2021,MANHATTAN,1491214.9166666667,
10065,2022,MANHATTAN,1595670.0,
10069,2015,MANHATTAN,2190102.6666666665,
10069,2016,MANHATTAN,2240231.0,
10069,2017,MANHATTAN,2227467.8333333335,
10069,2018,MANHATTAN,2089360.5833333333,
10069,2019,MANHATTAN,1984795.5833333333,
10069,2020,MANHATTAN,1933001.5,
10069,2021,MANHATTAN,1941931.25,
10069,2022,MANHATTAN,2102033.6,
10075,2015,MANHATTAN,1019505.8333333334,
10075,2016,MANHATTAN,1037782.9166666666,
10075,2017,MANHATTAN,1030613.4166666666,
10075,2018,MANHATTAN,1140534.6666666667,
10075,2019,MANHATTAN,1125781.4166666667,
10075,2020,MANHATTAN,1135156.9166666667,
10075,2021,MANHATTAN,1163591.75,
10075,2022,MANHATTAN,1248309.8,
10118,2015,MANHATTAN,3468793.1666666665,
10118,2016,MANHATTAN,3436434.5833333335,
10118,2017,MANHATTAN,3404462.25,
10118,2018,MANHATTAN,3134406.6666666665,
10118,2019,MANHATTAN,2572320.9166666665,
10118,2020,MANHATTAN,2512584.4166666665,
10118,2021,MANHATTAN,2323685.3333333335,
10118,2022,MANHATTAN,2547528.6,
10128,2015,MANHATTAN,991777.8333333334,
10128,2016,MANHATTAN,1053677.75,
10128,2017,MANHATTAN,1061116.7777777778,
10128,2018,MANHATTAN,1101849.5,
10128,2019,MANHATTAN,1114977.5833333333,
10128,2020,MANHATTAN,1081662.25,
