zipcode,year,borough,home_value,count
10467,2019,BRONX,392851.9166666667,
10467,2020,BRONX,411901.9166666667,
10467,2021,BRONX,434393.3333333333,
10467,2022,BRONX,455648.8,
10468,2015,BRONX,181712.33333333334,
10468,2016,BRONX,207922.66666666666,
10468,2017,BRONX,239434.5,
10468,2018,BRONX,257130.33333333334,
10468,2019,BRONX,281153.0833333333,
10468,2020,BRONX,291343.75,
10468,2021,BRONX,317906.0833333333,
10468,2022,BRONX,339862.6,
10469,2015,BRONX,395490.4166666667,
10469,2016,BRONX,406624.3333333333,
10469,2017,BRONX,431908.8333333333,
10469,2018,BRONX,467559.5833333333,
10469,2019,BRONX,506082.4166666667,
10469,2020,BRONX,534195.0,
10469,2021,BRONX,560913.0,
10470,2015,BRONX,402031.8333333333,
10470,2016,BRONX,412740.1666666667,
10470,2017,BRONX,446400.75,
10470,2018,BRONX,469536.5,
10470,2019,BRONX,503313.6666666667,
10470,2020,BRONX,553004.75,
10470,2021,BRONX,582896.3333333334,
10470,2022,BRONX,623223.4,
10471,2015,BRONX,484444.5833333333,
10471,2016,BRONX,490587.6666666667,
10471,2017,BRONX,512234.8333333333,
10471,2018,BRONX,665197.25,
10471,2019,BRONX,730121.3333333334,
10471,2020,BRONX,755567.3333333334,
10471,2021,BRONX,734822.9166666666,
10471,2022,BRONX,748826.8,
10472,2015,BRONX,354538.8333333333,
10472,2016,BRONX,365736.4166666667,
10472,2017,BRONX,397224.4166666667,
10472,2018,BRONX,437228.5,
10472,2019,BRONX,477575.3333333333,
10472,2020,BRONX,528818.0,
10472,2021,BRONX,579482.1666666666,
10472,2022,BRONX,627061.7,
10473,2015,BRONX,324935.9166666667,
10473,2016,BRONX,330173.5,
10473,2017,BRONX,353370.6666666667,
10473,2018,BRONX,391771.5833333333,
10473,2019,BRONX,426691.5,
10473,2020,BRONX,458113.6666666667,
10473,2021,BRONX,486463.5,
10473,2022,BRONX,521522.2,
10475,2015,BRONX,373253.75,
