zipcode,year,borough,home_value,count
11211,2015,BROOKLYN,1009364.3333333334,
11211,2016,BROOKLYN,967278.0,
11211,2021,BROOKLYN,1072471.75,
11212,2015,BROOKLYN,337929.5833333333,
11212,2016,BROOKLYN,361589.3333333333,
11212,2017,BROOKLYN,406803.8333333333,
11212,2018,BROOKLYN,449230.5,
11212,2019,BROOKLYN,480554.5,
11212,2020,BROOKLYN,503453.4166666667,
11212,2021,BROOKLYN,531136.1666666666,
11212,2022,BROOKLYN,565813.6,
11213,2015,BROOKLYN,808794.4166666666,
11213,2016,BROOKLYN,896240.9166666666,
11213,2017,BROOKLYN,930991.0833333334,
11213,2018,BROOKLYN,968723.9166666666,
11213,2019,BROOKLYN,970805.5833333334,
11213,2020,BROOKLYN,972262.0,
11213,2021,BROOKLYN,989242.9166666666,
11213,2022,BROOKLYN,1074487.1,
11214,2015,BROOKLYN,538540.1666666666,
11214,2016,BROOKLYN,573353.0,
11214,2017,BROOKLYN,607146.8333333334,
11214,2018,BROOKLYN,645641.75,
11214,2019,BROOKLYN,663974.4166666666,
11214,2020,BROOKLYN,658203.8333333334,
11214,2021,BROOKLYN,684362.9166666666,
11214,2022,BROOKLYN,716947.2,
11215,2015,BROOKLYN,1399352.75,
11215,2016,BROOKLYN,1479163.0,
11215,2017,BROOKLYN,1461599.9166666667,
11215,2018,BROOKLYN,1418675.5833333333,
11215,2019,BROOKLYN,1442186.3333333333,
11215,2020,BROOKLYN,1350269.1666666667,
11215,2021,BROOKLYN,1362516.5,
11215,2022,BROOKLYN,1465798.0,
11216,2015,BROOKLYN,941515.0,
11216,2016,BROOKLYN,1028097.9166666666,
11216,2017,BROOKLYN,1045381.6666666666,
11216,2018,BROOKLYN,1112043.4166666667,
11216,2019,BROOKLYN,1111053.0833333333,
11216,2020,BROOKLYN,1112305.4166666667,
11216,2021,BROOKLYN,1136209.0,
11216,2022,BROOKLYN,1242107.2,
11217,2015,BROOKLYN,1443722.9166666667,
11217,2016,BROOKLYN,1522131.9166666667,
11217,2017,BROOKLYN,1521126.75,
