Address,County,Zip,price,Listing Url,Borough
"1 Morningside Dr New York, NY 10025",New York,10025,4575.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4585.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4670.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4705.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4710.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4718.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4740.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,4980.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,6840.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,7485.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"1 Morningside Dr New York, NY 10025",New York,10025,7915.0,https://www.trulia.com/c/ny/new-york/avalon-morningside-park-1-morningside-dr-new-york-ny-10025--2008651520,New York
"225 E 63rd St New York, NY 10065",New York,10065,3365.0,https://www.trulia.com/c/ny/new-york/renoir-house-225-e-63rd-st-new-york-ny-10065--2173952257,New York
"225 E 63rd St New York, NY 10065",New York,10065,7369.0,https://www.trulia.com/c/ny/new-york/renoir-house-225-e-63rd-st-new-york-ny-10065--2173952257,New York
"7 Navy Pier Ct Staten Island, NY 10304",Staten Island,10304,2433.0,https://www.trulia.com/c/ny/staten-island/staten-island-urby-7-navy-pier-ct-staten-island-ny-10304--2332790547,Staten Island
"7 Navy Pier Ct Staten Island, NY 10304",Staten Island,10304,2550.0,https://www.trulia.com/c/ny/staten-island/staten-island-urby-7-navy-pier-ct-staten-island-ny-10304--2332790547,Staten Island
"7 Navy Pier Ct Staten Island, NY 10304",Staten Island,10304,2450.0,https://www.trulia.com/c/ny/staten-island/staten-island-urby-7-navy-pier-ct-staten-island-ny-10304--2332790547,Staten Island
"7 Navy Pier Ct Staten Island, NY 10304",Staten Island,10304,2615.0,https://www.trulia.com/c/ny/staten-island/staten-island-urby-7-navy-pier-ct-staten-island-ny-10304--2332790547,Staten Island
"7 Navy Pier Ct Staten Island, NY 10304",Staten Island,10304,3584.0,https://www.trulia.com/c/ny/staten-island/staten-island-urby-7-navy-pier-ct-staten-island-ny-10304--2332790547,Staten Island
"500 Seaview Ave Staten Island, NY 10305",Staten Island,10305,2475.0,https://www.trulia.com/c/ny/staten-island/seaview-apartments-500-seaview-ave-staten-island-ny-10305--2415643403,Staten Island
"500 Seaview Ave Staten Island, NY 10305",Staten Island,10305,2500.0,https://www.trulia.com/c/ny/staten-island/seaview-apartments-500-seaview-ave-staten-island-ny-10305--2415643403,Staten Island
"500 Seaview Ave Staten Island, NY 10305",Staten Island,10305,2575.0,https://www.trulia.com/c/ny/staten-island/seaview-apartments-500-seaview-ave-staten-island-ny-10305--2415643403,Staten Island
"147 Archer Ave Jamaica, NY 11435",Jamaica,11435,2040.0,https://www.trulia.com/c/ny/jamaica/jamaica-station-crossing-147-archer-ave-jamaica-ny-11435--2568377794,Queens
"147 Archer Ave Jamaica, NY 11435",Jamaica,11435,2295.0,https://www.trulia.com/c/ny/jamaica/jamaica-station-crossing-147-archer-ave-jamaica-ny-11435--2568377794,Queens
"147 Archer Ave Jamaica, NY 11435",Jamaica,11435,2305.0,https://www.trulia.com/c/ny/jamaica/jamaica-station-crossing-147-archer-ave-jamaica-ny-11435--2568377794,Queens
"147 Archer Ave Jamaica, NY 11435",Jamaica,11435,2325.0,https://www.trulia.com/c/ny/jamaica/jamaica-station-crossing-147-archer-ave-jamaica-ny-11435--2568377794,Queens
"147 Archer Ave Jamaica, NY 11435",Jamaica,11435,2335.0,https://www.trulia.com/c/ny/jamaica/jamaica-station-crossing-147-archer-ave-jamaica-ny-11435--2568377794,Queens
"147 Archer Ave Jamaica, NY 11435",Jamaica,11435,2345.0,https://www.trulia.com/c/ny/jamaica/jamaica-station-crossing-147-archer-ave-jamaica-ny-11435--2568377794,Queens
"147 Archer Ave Jamaica, NY 11435",Jamaica,11435,2355.0,https://www.trulia.com/c/ny/jamaica/jamaica-station-crossing-147-archer-ave-jamaica-ny-11435--2568377794,Queens
"147 Archer Ave Jamaica, NY 11435",Jamaica,11435,2585.0,https://www.trulia.com/c/ny/jamaica/jamaica-station-crossing-147-archer-ave-jamaica-ny-11435--2568377794,Queens
"190 Beach 69th St Arverne, NY 11692",Arverne,11692,2700.0,https://www.trulia.com/c/ny/arverne/the-tides-at-arverne-by-the-sea-190-beach-69th-st-arverne-ny-11692--2355011519,Queens
"190 Beach 69th St Arverne, NY 11692",Arverne,11692,3000.0,https://www.trulia.com/c/ny/arverne/the-tides-at-arverne-by-the-sea-190-beach-69th-st-arverne-ny-11692--2355011519,Queens
"92-27 160th St Jamaica, NY 11433",Jamaica,11433,2265.0,https://www.trulia.com/c/ny/jamaica/one-archer-92-27-160th-st-jamaica-ny-11433--2618900199,Queens
"92-27 160th St Jamaica, NY 11433",Jamaica,11433,2305.0,https://www.trulia.com/c/ny/jamaica/one-archer-92-27-160th-st-jamaica-ny-11433--2618900199,Queens
"92-27 160th St Jamaica, NY 11433",Jamaica,11433,2620.0,https://www.trulia.com/c/ny/jamaica/one-archer-92-27-160th-st-jamaica-ny-11433--2618900199,Queens
"92-27 160th St Jamaica, NY 11433",Jamaica,11433,2625.0,https://www.trulia.com/c/ny/jamaica/one-archer-92-27-160th-st-jamaica-ny-11433--2618900199,Queens
"92-27 160th St Jamaica, NY 11433",Jamaica,11433,2965.0,https://www.trulia.com/c/ny/jamaica/one-archer-92-27-160th-st-jamaica-ny-11433--2618900199,Queens
"92-27 160th St Jamaica, NY 11433",Jamaica,11433,3470.0,https://www.trulia.com/c/ny/jamaica/one-archer-92-27-160th-st-jamaica-ny-11433--2618900199,Queens
"92-27 160th St Jamaica, NY 11433",Jamaica,11433,3715.0,https://www.trulia.com/c/ny/jamaica/one-archer-92-27-160th-st-jamaica-ny-11433--2618900199,Queens
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,3470.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,3640.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,4290.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,4445.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,4450.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,4675.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,4705.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,5270.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,6325.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"1 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,6925.0,https://www.trulia.com/c/ny/brooklyn/one-blue-slip-1-blue-slip-brooklyn-ny-11222--2411982943,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,3487.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,3592.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,3825.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,3851.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,4535.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,4940.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,4905.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,5065.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,5110.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,5210.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,5545.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,5670.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,6935.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
"2 Blue #Brookly Brooklyn, NY 11222",Brooklyn,11222,6530.0,https://www.trulia.com/c/ny/brooklyn/two-blue-slip-2-blue-slip-brooklyn-ny-11222--2444662696,Brooklyn
