geo_id,year,borough,zipcode,total_housing_units,occupied_housing_units,owner_occupied_units,own_occ_median_value,renter_occupied_units,rent_occ_median_rent,vacant_housing_units,occ_units_paying_rent,homeowner_vacancy_rate,rental_vacancy_rate,median_rooms,no_bedrooms,1_bedroom,2_bedrooms,3_bedrooms,4_bedrooms,5_or_more_bedrooms,avg_household_size_own_occ_unit,avg_household_size_rent_occ_unit
8600000US11219,2011,Brooklyn,11219,28371.0,26541.0,6707.0,701300.0,19834.0,1102.0,1830.0,19216.0,1.0,3.1,4.2,783.0,7135.0,9018.0,6965.0,2634.0,1836.0,3.86,3.38
8600000US11220,2011,Brooklyn,11220,32527.0,30643.0,7587.0,621600.0,23056.0,1085.0,1884.0,22418.0,2.9,3.3,3.9,1759.0,7163.0,13668.0,6869.0,1805.0,1263.0,3.42,3.18
8600000US11221,2011,Brooklyn,11221,32221.0,27089.0,5786.0,563100.0,21303.0,1023.0,5132.0,20733.0,7.0,5.3,4.2,2246.0,7581.0,12361.0,7187.0,1552.0,1294.0,3.43,2.63
8600000US11222,2011,Brooklyn,11222,18350.0,16069.0,2890.0,700600.0,13179.0,1261.0,2281.0,12851.0,5.6,4.5,4.1,1055.0,5807.0,8611.0,2129.0,413.0,335.0,2.25,2.03
8600000US11223,2011,Brooklyn,11223,29052.0,26837.0,10638.0,631600.0,16199.0,992.0,2215.0,15144.0,3.4,4.6,4.3,1183.0,9915.0,8747.0,6181.0,1971.0,1055.0,3.21,2.40
8600000US11224,2011,Brooklyn,11224,19839.0,18734.0,4518.0,355800.0,14216.0,725.0,1105.0,14005.0,2.0,2.3,3.9,591.0,7948.0,6394.0,3896.0,621.0,389.0,2.51,2.26
8600000US11225,2011,Brooklyn,11225,24850.0,23059.0,3413.0,639400.0,19646.0,1016.0,1791.0,19441.0,2.4,3.6,3.8,2261.0,9312.0,7824.0,3547.0,1171.0,735.0,3.25,2.43
8600000US11226,2011,Brooklyn,11226,39193.0,36367.0,4153.0,489800.0,32214.0,1065.0,2826.0,31503.0,2.7,4.8,3.7,2746.0,16322.0,13036.0,4868.0,1192.0,1029.0,3.57,2.60
8600000US11228,2011,Brooklyn,11228,16278.0,14973.0,8690.0,670300.0,6283.0,1192.0,1305.0,5831.0,1.4,4.9,5.2,213.0,3210.0,5055.0,5521.0,1410.0,869.0,2.97,2.64
8600000US11229,2011,Brooklyn,11229,31828.0,29950.0,13304.0,549700.0,16646.0,1021.0,1878.0,15931.0,2.1,2.0,4.3,1326.0,9280.0,9516.0,9092.0,1806.0,808.0,2.99,2.22
8600000US11230,2011,Brooklyn,11230,32327.0,30012.0,8763.0,597300.0,21249.0,1122.0,2315.0,20546.0,1.8,3.2,3.9,1630.0,12340.0,8869.0,5289.0,2052.0,2147.0,3.41,2.60
8600000US11231,2011,Brooklyn,11231,16969.0,15281.0,3928.0,894400.0,11353.0,1420.0,1688.0,11165.0,3.8,1.9,4.1,781.0,6061.0,6303.0,2869.0,672.0,283.0,2.60,2.19
8600000US11232,2011,Brooklyn,11232,9376.0,8658.0,1807.0,596300.0,6851.0,1186.0,718.0,6666.0,1.9,3.4,3.9,485.0,2554.0,4211.0,1697.0,310.0,119.0,2.68,3.01
8600000US11233,2011,Brooklyn,11233,29740.0,25595.0,5680.0,564100.0,19915.0,978.0,4145.0,19481.0,5.0,6.5,4.1,1106.0,7695.0,12043.0,6173.0,1270.0,1453.0,3.10,2.40
8600000US11234,2011,Brooklyn,11234,33804.0,31874.0,21791.0,499600.0,10083.0,1212.0,1930.0,9506.0,1.0,2.8,5.4,518.0,3996.0,8905.0,15885.0,3195.0,1305.0,3.14,2.60
8600000US11235,2011,Brooklyn,11235,33866.0,30792.0,11696.0,536400.0,19096.0,1040.0,3074.0,18442.0,5.9,5.0,3.5,2541.0,12809.0,10744.0,5807.0,1124.0,841.0,2.59,2.06
8600000US11236,2011,Brooklyn,11236,33521.0,31109.0,15476.0,493300.0,15633.0,1175.0,2412.0,15172.0,2.3,3.3,4.6,1503.0,3602.0,12956.0,11781.0,2469.0,1210.0,3.34,2.63
8600000US11237,2011,Brooklyn,11237,17661.0,16134.0,1649.0,500500.0,14485.0,1126.0,1527.0,14293.0,1.2,6.4,4.1,941.0,2718.0,8969.0,4228.0,558.0,247.0,3.24,3.21
8600000US11238,2011,Brooklyn,11238,25041.0,22826.0,6519.0,635900.0,16307.0,1247.0,2215.0,15956.0,4.1,6.3,3.8,1811.0,9132.0,8194.0,3999.0,1041.0,864.0,2.61,1.99
8600000US11239,2011,Brooklyn,11239,6518.0,6436.0,142.0,379200.0,6294.0,883.0,82.0,6251.0,0.0,0.7,3.6,142.0,2506.0,2506.0,1306.0,43.0,15.0,1.82,1.98
