,Apartments,Apartments,Apartments,Apartments,Trulia,Trulia,Trulia,Trulia,Zillow,Zillow,Zillow,Zillow
,Rent,Borough,Zip,Year,Zip,Borough,Year,Rent,mean_rent,Zip,Borough,Year
82,2900,The Bronx,10461,2022.0,11692,Queens,2022.0,2700,1305.3,10467,Bronx,2015
83,1300,The Bronx,10463,2022.0,,,,,1967.7,11226,Brooklyn,2015
84,2300,The Bronx,10461,2022.0,11433,Queens,2022.0,2265,1759.6,11220,Brooklyn,2015
85,2900,The Bronx,10465,2022.0,,,,,2076.3,11207,Brooklyn,2015
86,3000,The Bronx,10031,2022.0,,,,,1593.8,11214,Brooklyn,2015
87,2600,The Bronx,10462,2022.0,,,,,3104.1,10025,Manhattan,2015
88,2800,The Bronx,10461,2022.0,,,,,2263.8,11221,Brooklyn,2015
89,2400,The Bronx,10029,2022.0,,,,,1380.5,10458,Bronx,2015
90,3200,The Bronx,10473,2022.0,,,,,1775.1,11235,Brooklyn,2015
91,3100,The Bronx,10470,2022.0,11222,Brooklyn,2022.0,3470,1514.6,11223,Brooklyn,2015
92,2500,The Bronx,10473,2022.0,,,,,2838.0,11206,Brooklyn,2015
93,3000,The Bronx,10035,2022.0,,,,,1762.9,11229,Brooklyn,2015
94,1715,The Bronx,10472,2022.0,,,,,1572.6,11355,Queens,2015
95,2912,The Bronx,10459,2022.0,,,,,1778.5,11230,Brooklyn,2015
96,6850,The Bronx,10471,2022.0,,,,,2023.5,11233,Brooklyn,2015
97,4900,The Bronx,10463,2022.0,,,,,1293.7,10457,Bronx,2015
98,1850,The Bronx,10466,2022.0,,,,,1365.5,10462,Bronx,2015
99,2700,The Bronx,10467,2022.0,,,,,2348.5,10029,Manhattan,2015
100,3200,The Bronx,10471,2022.0,,,,,2129.7,11218,Brooklyn,2015
101,2300,The Bronx,10461,2022.0,11222,Brooklyn,2022.0,3487,2956.1,10002,Manhattan,2015
102,1300,The Bronx,10470,2022.0,,,,,1911.7,11375,Queens,2015
103,4500,The Bronx,10471,2022.0,,,,,2067.3,10463,Bronx,2015
104,2550,The Bronx,10463,2022.0,,,,,2642.7,11215,Brooklyn,2015
105,1700,The Bronx,10465,2022.0,,,,,2001.2,11213,Brooklyn,2015
106,2600,The Bronx,10704,2022.0,,,,,1700.9,11209,Brooklyn,2015
107,3600,The Bronx,10473,2022.0,,,,,2402.3,10027,Manhattan,2015
108,2900,The Bronx,10456,2022.0,,,,,3175.9,11211,Brooklyn,2015
109,10950,The Bronx,10027,2022.0,,,,,3180.0,11201,Brooklyn,2015
110,5000,The Bronx,11357,2022.0,,,,,2036.5,10032,Manhattan,2015
111,3090,The Bronx,10026,2022.0,,,,,3417.1,10023,Manhattan,2015
112,3500,The Bronx,10454,2022.0,,,,,2625.8,10128,Manhattan,2015
113,4995,The Bronx,10463,2022.0,,,,,3145.8,11238,Brooklyn,2015
114,4400,The Bronx,10471,2022.0,,,,,2296.6,11216,Brooklyn,2015
115,4999,The Bronx,10464,2022.0,,,,,3124.2,10009,Manhattan,2015
116,4000,The Bronx,10465,2022.0,,,,,1455.5,11435,Queens,2015
117,2400,The Bronx,10461,2022.0,11101,Queens,2022.0,3112,2993.6,10024,Manhattan,2015
118,4200,The Bronx,10459,2022.0,,,,,2064.4,11225,Brooklyn,2015
119,2100,The Bronx,11357,2022.0,,,,,2124.1,10033,Manhattan,2015
120,10998,The Bronx,10464,2022.0,,,,,2193.5,10031,Manhattan,2015
121,2300,The Bronx,10452,2022.0,11222,Brooklyn,2022.0,3100,2002.2,11354,Queens,2015
122,5600,The Bronx,10803,2022.0,,,,,3255.6,10003,Manhattan,2015
123,1900,The Bronx,10467,2022.0,,,,,3530.1,10016,Manhattan,2015
124,1700,The Bronx,10550,2022.0,,,,,3584.1,10011,Manhattan,2015
125,3250,The Bronx,10704,2022.0,,,,,1274.9,10461,Bronx,2015
126,2300,Queens,11385,2022.0,,,,,2413.3,11237,Brooklyn,2015
127,2875,Queens,11385,2022.0,,,,,2662.2,10028,Manhattan,2015
128,2000,Queens,11415,2022.0,,,,,1306.1,11228,Brooklyn,2015
129,900,Queens,11432,2022.0,,,,,2499.1,11205,Brooklyn,2015
130,2400,Queens,11694,2022.0,,,,,1681.9,10040,Manhattan,2015
131,2500,Queens,11433,2022.0,,,,,1900.7,11374,Queens,2015
132,3500,Queens,11375,2022.0,,,,,3473.6,10019,Manhattan,2015
133,3500,Queens,11426,2022.0,,,,,2623.3,10021,Manhattan,2015
134,3200,Queens,11413,2022.0,,,,,2956.8,11217,Brooklyn,2015
135,2800,Queens,11433,2022.0,,,,,2708.5,11101,Queens,2015
136,2400,Queens,11103,2022.0,,,,,2587.1,10026,Manhattan,2015
137,2000,Queens,11103,2022.0,,,,,2721.0,11222,Brooklyn,2015
138,3995,Queens,11375,2022.0,,,,,2755.3,11231,Brooklyn,2015
139,2000,Queens,11360,2022.0,,,,,2095.9,11106,Queens,2015
140,2995,Queens,11379,2022.0,,,,,3624.1,11249,Brooklyn,2015
141,1500,Queens,11412,2022.0,,,,,2230.3,11105,Queens,2015
142,1800,Queens,11377,2022.0,,,,,3600.4,10010,Manhattan,2015
143,2300,Queens,11375,2022.0,,,,,2216.0,10035,Manhattan,2015
144,2500,Queens,11691,2022.0,,,,,1875.5,11103,Queens,2015
145,3000,Queens,11432,2022.0,,,,,3175.1,10022,Manhattan,2015
146,800,Queens,11412,2022.0,,,,,3492.8,10014,Manhattan,2015
147,2060,Queens,11104,2022.0,,,,,1980.9,10030,Manhattan,2015
148,3000,Queens,11377,2022.0,,,,,2281.0,11102,Queens,2015
149,1150,Queens,11426,2022.0,,,,,2962.7,10065,Manhattan,2015
150,4800,Queens,,2022.0,,,,,4499.3,10013,Manhattan,2015
151,2400,Queens,11385,2022.0,,,,,3221.4,10036,Manhattan,2015
152,2800,Queens,11378,2022.0,,,,,2301.4,10075,Manhattan,2015
153,3500,Queens,11429,2022.0,,,,,3945.6,10001,Manhattan,2015
154,3000,Queens,11378,2022.0,,,,,3740.4,10038,Manhattan,2015
155,4200,Queens,11360,2022.0,,,,,3197.1,10012,Manhattan,2015
156,1900,Queens,11105,2022.0,,,,,3102.5,10017,Manhattan,2015
