zip_code,state,city,borough,date,home_value
11373,NY,New York,QUEENS,2018-02-28,551797.0
11234,NY,New York,BROOKLYN,2018-02-28,607552.0
11220,NY,New York,BROOKLYN,2018-02-28,744211.0
11207,NY,New York,BROOKLYN,2018-02-28,431902.0
11214,NY,New York,BROOKLYN,2018-02-28,632106.0
10025,NY,New York,MANHATTAN,2018-02-28,1011658.0
10456,NY,New York,BRONX,2018-02-28,345326.0
10314,NY,New York,STATEN_ISLAND,2018-02-28,525573.0
11219,NY,New York,BROOKLYN,2018-02-28,831249.0
11221,NY,New York,BROOKLYN,2018-02-28,1006516.0
10458,NY,New York,BRONX,2018-02-28,344476.0
11235,NY,New York,BROOKLYN,2018-02-28,562038.0
11223,NY,New York,BROOKLYN,2018-02-28,878183.0
11377,NY,New York,QUEENS,2018-02-28,768879.0
11206,NY,New York,BROOKLYN,2018-02-28,948746.0
10453,NY,New York,BRONX,2018-02-28,423314.0
11229,NY,New York,BROOKLYN,2018-02-28,661806.0
11355,NY,New York,QUEENS,2018-02-28,650717.0
11204,NY,New York,BROOKLYN,2018-02-28,894995.0
11230,NY,New York,BROOKLYN,2018-02-28,970201.0
11233,NY,New York,BROOKLYN,2018-02-28,739199.0
10468,NY,New York,BRONX,2018-02-28,254225.0
10457,NY,New York,BRONX,2018-02-28,398126.0
10452,NY,New York,BRONX,2018-02-28,415340.0
10462,NY,New York,BRONX,2018-02-28,154343.0
10029,NY,New York,MANHATTAN,2018-02-28,936428.0
11218,NY,New York,BROOKLYN,2018-02-28,898238.0
10469,NY,New York,BRONX,2018-02-28,447162.0
10466,NY,New York,BRONX,2018-02-28,427984.0
11203,NY,New York,BROOKLYN,2018-02-28,526740.0
11212,NY,New York,BROOKLYN,2018-02-28,441377.0
10002,NY,New York,MANHATTAN,2018-02-28,837105.0
11375,NY,New York,QUEENS,2018-02-28,792173.0
10463,NY,New York,BRONX,2018-02-28,352162.0
11215,NY,New York,BROOKLYN,2018-02-28,1434007.0
10472,NY,New York,BRONX,2018-02-28,428451.0
11691,NY,New York,QUEENS,2018-02-28,484844.0
11213,NY,New York,BROOKLYN,2018-02-28,962277.0
11210,NY,New York,BROOKLYN,2018-02-28,744389.0
11209,NY,New York,BROOKLYN,2018-02-28,887534.0
10027,NY,New York,MANHATTAN,2018-02-28,962250.0
